,Género,Nivel,Tipo de test,Valor
0,Masculino,Avanzado,Pretest,100.0
1,Masculino,Avanzado,Pretest,100.0
2,Masculino,Inicial,Pretest,100.0
3,Femenino,Inicial,Pretest,100.0
4,Masculino,Inicial,Pretest,100.0
5,Femenino,Inicial,Pretest,100.0
6,Masculino,Inicial,Pretest,100.0
7,Masculino,Inicial,Pretest,100.0
8,Masculino,Inicial,Pretest,100.0
9,Masculino,Inicial,Pretest,100.0
10,Masculino,Inicial,Pretest,100.0
11,Masculino,Inicial,Pretest,100.0
12,Masculino,Inicial,Pretest,100.0
13,Masculino,Inicial,Pretest,100.0
14,Femenino,Inicial,Pretest,100.0
15,Masculino,Inicial,Pretest,100.0
16,Masculino,Inicial,Pretest,100.0
17,Masculino,Avanzado,Pretest,100.0
18,Masculino,Inicial,Pretest,100.0
19,Femenino,Inicial,Pretest,100.0
20,Masculino,Inicial,Pretest,100.0
21,Masculino,Inicial,Pretest,100.0
22,Femenino,Inicial,Pretest,100.0
23,Masculino,Avanzado,Pretest,100.0
24,Masculino,Inicial,Pretest,100.0
25,Masculino,Inicial,Pretest,100.0
26,Masculino,Inicial,Pretest,100.0
27,Femenino,Inicial,Pretest,100.0
28,Masculino,Inicial,Pretest,100.0
29,Femenino,Inicial,Pretest,100.0
30,Masculino,Inicial,Pretest,100.0
31,Masculino,Avanzado,Pretest,100.0
32,Masculino,Inicial,Pretest,100.0
33,Femenino,Inicial,Pretest,100.0
34,Masculino,Inicial,Pretest,100.0
35,Masculino,Inicial,Pretest,100.0
36,Masculino,Inicial,Pretest,100.0
37,Masculino,Inicial,Pretest,100.0
38,Masculino,Inicial,Pretest,100.0
39,Femenino,Avanzado,Pretest,100.0
40,Masculino,Avanzado,Pretest,100.0
41,Masculino,Inicial,Pretest,100.0
42,Masculino,Inicial,Pretest,100.0
43,Masculino,Avanzado,Pretest,100.0
44,Femenino,Inicial,Pretest,100.0
45,Femenino,Inicial,Pretest,100.0
46,Masculino,Inicial,Pretest,100.0
47,Masculino,Inicial,Pretest,100.0
48,Femenino,Inicial,Pretest,100.0
49,Femenino,Inicial,Pretest,100.0
50,Femenino,Inicial,Pretest,100.0
51,Masculino,Inicial,Pretest,100.0
52,Femenino,Inicial,Pretest,100.0
53,Femenino,Inicial,Pretest,100.0
54,Masculino,Inicial,Pretest,100.0
55,Masculino,Inicial,Pretest,100.0
56,Femenino,Inicial,Pretest,100.0
57,Femenino,Inicial,Pretest,100.0
58,Femenino,Inicial,Pretest,100.0
59,Femenino,Inicial,Pretest,100.0
60,Femenino,Inicial,Pretest,100.0
61,Femenino,Inicial,Pretest,100.0
62,Femenino,Inicial,Pretest,100.0
63,Femenino,Inicial,Pretest,100.0
64,Femenino,Avanzado,Pretest,100.0
65,Femenino,Inicial,Pretest,100.0
66,Masculino,Avanzado,Pretest,100.0
67,Femenino,Inicial,Pretest,100.0
68,Masculino,Inicial,Pretest,97.28027043638598
69,Femenino,Inicial,Pretest,97.28027043638598
70,Masculino,Inicial,Pretest,97.28027043638598
71,Femenino,Inicial,Pretest,97.28027043638598
72,Masculino,Inicial,Pretest,97.28027043638598
73,Masculino,Inicial,Pretest,97.28027043638598
74,Masculino,Avanzado,Pretest,97.28027043638598
75,Masculino,Inicial,Pretest,97.28027043638598
76,Femenino,Inicial,Pretest,97.28027043638598
77,Masculino,Inicial,Pretest,97.28027043638598
78,Masculino,Inicial,Pretest,97.28027043638598
79,Masculino,Inicial,Pretest,97.28027043638598
80,Femenino,Inicial,Pretest,97.28027043638598
81,Masculino,Inicial,Pretest,97.28027043638598
82,Masculino,Inicial,Pretest,96.319913952059
83,Masculino,Inicial,Pretest,96.319913952059
84,Masculino,Avanzado,Pretest,96.319913952059
85,Masculino,Inicial,Pretest,96.319913952059
86,Femenino,Inicial,Pretest,96.319913952059
87,Femenino,Avanzado,Pretest,96.319913952059
88,Masculino,Inicial,Pretest,95.81284572833437
89,Masculino,Inicial,Pretest,95.81284572833437
90,Masculino,Avanzado,Pretest,95.81284572833437
91,Masculino,Inicial,Pretest,95.81284572833437
92,Masculino,Avanzado,Pretest,95.81284572833437
93,Masculino,Inicial,Pretest,95.81284572833437
94,Masculino,Inicial,Pretest,95.81284572833437
95,Masculino,Inicial,Pretest,95.81284572833437
96,Femenino,Inicial,Pretest,95.81284572833437
97,Masculino,Inicial,Pretest,95.81284572833437
98,Masculino,Inicial,Pretest,95.81284572833437
99,Masculino,Inicial,Pretest,94.56054087277197
100,Masculino,Inicial,Pretest,94.56054087277197
101,Masculino,Inicial,Pretest,94.56054087277197
102,Masculino,Avanzado,Pretest,94.56054087277197
103,Masculino,Inicial,Pretest,94.56054087277197
104,Masculino,Inicial,Pretest,94.56054087277197
105,Masculino,Inicial,Pretest,94.32237246465888
106,Femenino,Inicial,Pretest,94.08420405654579
107,Femenino,Inicial,Pretest,94.08420405654579
108,Masculino,Inicial,Pretest,93.88444990780577
109,Masculino,Inicial,Pretest,93.60018438844497
110,Masculino,Avanzado,Pretest,93.60018438844497
111,Masculino,Inicial,Pretest,93.60018438844497
112,Masculino,Inicial,Pretest,93.60018438844497
