,Genero,Materia,Grados,Porcentaje
0,Femenino,0,Bachillerato,0.017717346518335394
1,Femenino,0,Primaria,0.036670786979810466
2,Femenino,1,Bachillerato,0.34363411619283063
3,Femenino,1,Primaria,0.030490317264112072
4,Femenino,2,Bachillerato,0.11701689328388958
5,Femenino,2,Primaria,0.023897816234033788
6,Femenino,3,Bachillerato,0.036258755665430575
7,Femenino,3,Primaria,0.016893283889575606
8,Femenino,4,Bachillerato,0.014833127317676144
9,Femenino,4,Primaria,0.014009064688916358
10,Femenino,5,Bachillerato,0.004120313143798929
11,Femenino,5,Primaria,0.007828594973217964
12,Femenino,6,Bachillerato,0.0016481252575195715
13,Femenino,6,Primaria,0.005356407086938607
14,Femenino,7,Bachillerato,0.0020601565718994645
15,Femenino,7,Primaria,0.012360939431396786
16,Femenino,8,Bachillerato,0.048619695096827356
17,Femenino,8,Primaria,0.2665842604037907
18,Masculino,0,Bachillerato,0.0216998191681736
19,Masculino,0,Primaria,0.02531645569620253
20,Masculino,1,Bachillerato,0.439873417721519
21,Masculino,1,Primaria,0.021247739602169982
22,Masculino,2,Bachillerato,0.20569620253164558
23,Masculino,2,Primaria,0.017179023508137433
24,Masculino,3,Bachillerato,0.060126582278481014
25,Masculino,3,Primaria,0.011301989150090416
26,Masculino,4,Bachillerato,0.015822784810126583
27,Masculino,4,Primaria,0.0022603978300180833
28,Masculino,5,Bachillerato,0.004972875226039783
29,Masculino,5,Primaria,0.0027124773960217
30,Masculino,6,Bachillerato,0.00406871609403255
31,Masculino,6,Primaria,0.0031645569620253164
32,Masculino,7,Bachillerato,0.0031645569620253164
33,Masculino,7,Primaria,0.004972875226039783
34,Masculino,8,Bachillerato,0.051537070524412296
35,Masculino,8,Primaria,0.10488245931283906
