Fecha;Audencia
03-May;0
04-May;0
05-May;6
06-May;9
07-May;783
08-May;435
09-May;112
10-May;1038
11-May;28718
12-May;8072
13-May;2734
14-May;7698
15-May;1737
16-May;2190
17-May;389
18-May;254
19-May;464
20-May;507
21-May;1088
22-May;1000
23-May;287
24-May;1196
25-May;942
26-May;847
27-May;1920
28-May;2001
29-May;776
30-May;460
31-May;3450
01-Jun;1626
02-Jun;548
03-Jun;1362
04-Jun;1865
05-Jun;1565
06-Jun;2052
07-Jun;1524
08-Jun;2549
09-Jun;2959
10-Jun;8233
11-Jun;4764
12-Jun;2504
13-Jun;2395
14-Jun;3350
15-Jun;5163
16-Jun;5492
17-Jun;4754
18-Jun;3739
19-Jun;3314
20-Jun;1472
21-Jun;2780
22-Jun;1711
23-Jun;1977
24-Jun;13486
25-Jun;7982
26-Jun;9863
27-Jun;10684
28-Jun;17324
29-Jun;8701
30-Jun;7590
01-Jul;1892
02-Jul;1928
03-Jul;2963
04-Jul;1138
05-Jul;950
06-Jul;2285
07-Jul;151289
08-Jul;1925
09-Jul;1582
