Fecha,Miembros totales,Miembros activos
May-01,4054,85
May-02,4066,18
May-03,4067,621
May-04,4069,90
May-05,4069,18
May-06,4074,20
May-07,4074,599
May-08,4073,305
May-09,4073,72
May-10,4075,72
May-11,4080,1108
May-12,4090,1707
May-13,4135,675
May-14,4135,324
May-15,4135,343
May-16,4135,84
May-17,4152,294
May-18,4153,114
May-19,4157,24
May-20,4157,8
May-21,4162,11
May-22,4161,2
May-23,4161,5
May-24,4177,173
May-25,4190,604
May-26,4221,196
May-27,4267,773
May-28,4267,453
May-29,4267,103
May-30,4327,128
May-31,4327,98
Jun-01,4346,28
Jun-02,4346,12
Jun-03,4324,6
Jun-04,4341,400
Jun-05,4340,446
Jun-06,4340,84
Jun-07,4340,60
Jun-08,4345,387
Jun-09,4346,789
Jun-10,4357,414
Jun-11,4380,56
Jun-12,4380,27
Jun-13,4380,4
Jun-14,4380,4
Jun-15,4380,1198
Jun-16,4379,1161
Jun-17,4379,636
Jun-18,4379,246
Jun-19,4378,119
Jun-20,4378,38
Jun-21,4378,23
Jun-22,4409,1666
Jun-23,4408,504
Jun-24,4408,184
Jun-25,4408,156
Jun-26,4408,23
Jun-27,4408,1
Jun-28,4406,5
Jun-29,4406,4
Jun-30,4406,5
Jul-01,4406,3
Jul-02,4406,2
Jul-03,4406,2
Jul-04,4406,1
Jul-05,4405,2
Jul-06,4404,2
Jul-07,4404,4
Jul-08,4404,3
