Mes,Día,Publicaciones,Comentarios,Reacciones,Miembros activos
Mayo,3,2,0,3,621
Mayo,4,0,0,0,90
Mayo,5,0,0,0,18
Mayo,6,0,1,1,20
Mayo,7,1,1,18,599
Mayo,8,0,0,6,305
Mayo,9,0,0,1,72
Mayo,10,1,0,12,72
Mayo,11,3,5,43,1108
Mayo,12,4,5,94,1707
Mayo,13,1,2,19,675
Mayo,14,0,0,11,324
Mayo,15,1,1,16,343
Mayo,16,0,0,3,84
Mayo,17,2,0,4,294
Mayo,18,0,0,1,114
Mayo,19,0,0,0,24
Mayo,20,0,0,0,8
Mayo,21,0,0,0,11
Mayo,22,0,0,0,2
Mayo,23,0,0,0,5
Mayo,24,1,0,1,173
Mayo,25,1,0,17,604
Mayo,26,0,0,12,196
Mayo,27,2,1,17,773
Mayo,28,0,0,8,453
Mayo,29,0,0,3,103
Mayo,30,1,1,3,128
Mayo,31,0,0,1,98
Junio,1,0,0,0,28
Junio,2,0,1,0,12
Junio,3,0,0,0,6
Junio,4,1,0,8,400
Junio,5,0,0,15,446
Junio,6,0,0,1,84
Junio,7,0,0,2,60
Junio,8,1,0,16,387
Junio,9,1,0,35,789
Junio,10,0,0,7,414
Junio,11,0,0,0,56
Junio,12,0,0,1,27
Junio,13,0,0,0,4
Junio,14,0,0,0,4
Junio,15,1,0,41,1198
Junio,16,1,8,61,1161
Junio,17,2,0,28,636
Junio,18,0,0,7,246
Junio,19,0,0,2,119
Junio,20,0,0,2,38
Junio,21,0,0,0,23
Junio,22,2,7,94,1666
Junio,23,0,2,23,504
Junio,24,0,4,7,184
Junio,25,0,0,4,156
Junio,26,0,0,0,23
Junio,27,0,0,0,1
Junio,28,0,0,0,5
Junio,29,0,0,0,4
Junio,30,0,0,0,5
Julio,1,0,0,0,3
Julio,2,0,0,1,2
Julio,3,0,0,0,2
Julio,4,0,0,0,1
Julio,5,0,0,0,2
Julio,6,0,0,0,2
Julio,7,0,0,0,4
Julio,8,0,0,0,3
Julio,9,0,0,0,2
