Línea Temática,Alcance,Me gusta y reacciones,Comentarios,Contenido compartido,Clics en enlaces,Mes
1,1018,61,4,0,88,Junio
3,2027,113,0,20,54,Junio
4,1917,62,26,7,154,Junio
6,2627,127,7,36,181,Junio
6,1818,78,6,24,162,Junio
5,2884,93,10,31,92,Junio
3,3159,150,6,43,183,Junio
7,13500,521,295,62,795,Junio
4,1550,54,30,9,174,Junio
6,6075,262,16,56,232,Junio
1,2681,226,7,26,334,Junio
2,3094,110,4,26,71,Junio
6,1487,74,5,39,290,Junio
6,4541,89,16,55,272,Junio
1,1362,71,13,0,106,Junio
6,1161,66,2,10,47,Junio
7,4032,313,252,29,532,Junio
2,2144,89,1,46,75,Junio
4,810,69,15,9,105,Junio
6,2950,92,6,35,151,Junio
3,1068,57,0,3,24,Junio
6,1850,43,2,14,91,Junio
1,901,28,3,14,117,Junio
1,1093,44,3,15,181,Junio
1,762,61,14,0,33,Junio
6,1505,64,2,13,105,Junio
5,1390,75,5,16,158,Junio
6,1166,33,1,12,78,Junio
5,1112,86,16,13,49,Junio
3,1036,57,11,11,52,Junio
6,1597,40,3,17,68,Junio
5,2187,61,0,30,160,Junio
6,1180,29,0,6,35,Junio
1,750,103,25,0,80,Junio
5,3314,102,5,35,157,Junio
5,615,73,0,17,72,Junio
3,2707,83,21,5,120,Mayo
3,1396,65,0,7,62,Mayo
7,12630,966,1311,135,1610,Mayo
6,1166,67,1,7,63,Mayo
6,1107,74,1,1,123,Mayo
6,1256,70,6,6,141,Mayo
4,2427,91,38,18,255,Mayo
6,1794,105,21,7,188,Mayo
5,993,45,0,6,24,Mayo
1,1193,60,10,21,186,Mayo
1,1877,133,4,20,185,Mayo
6,1560,69,5,10,148,Mayo
4,2800,150,51,32,239,Mayo
1,5354,327,92,42,747,Mayo
4,813,25,21,0,115,Julio
5,509,36,0,10,47,Julio
6,1064,35,0,5,55,Julio
7,1845,220,264,13,433,Julio
3,1870,55,1,13,47,Julio
1,1090,25,0,2,88,Julio
2,926,61,1,8,35,Julio
6,2929,58,2,24,118,Julio
7,3309,103,10,31,45,Julio
3,643,20,1,7,18,Julio
6,1129,50,0,5,59,Julio
3,1211,20,5,7,24,Julio
1,1211,20,5,7,24,Julio
