Actividad,Fecha
Mensaje de bienvenida,05-May
E-card ,11-May
Webinar ,12-May
Día del profe,15-May
Video dinamizadores,19-May
Video novedades y expectativas,20-May
Minichallenge,21-May
Personajes y experiencias destacadas,31-May
Personajes y experiencias destacadas,01-Jun
Fichas didácticas,03-Jun
Minichallenge,04-Jun
Recursos alternativos,08-Jun
Día del estudiante,08-Jun
Fichas didácticas,09-Jun
Encuentro educativo,10-Jun
Minichallenge,11-Jun
Invitación evento,11-Jun
Personajes y experiencias destacadas,14-Jun
Temas transversales,15-Jun
Personajes y experiencias destacadas,16-Jun
Inscripción formación,16-Jun
Mini clase,17-Jun
Minichallenge,18-Jun
Inscripción formación,19-Jun
E-card ,21-Jun
Incripción formación inicial  ,21-Jun
Personajes y experiencias destacadas,22-Jun
Recursos alternativos,23-Jun
Personajes y experiencias destacadas,23-Jun
E-card ,24-Jun
Comunicación y divulgación,25-Jun
Inscripción formación,26-Jun
Teacher challenge,26-Jun
Recursos alternativos,28-Jun
Percepciones CAP,28-Jun
Personajes y experiencias destacadas,29-Jun
Recursos alternativos,30-Jun
Micro:bit,30-Jun
E-card ,01-Jul
Vídeo boletín mensual,01-Jul
Comunicación y divulgación,02-Jul
Encuentro educativo,02-Jul
Convocatorias,03-Jul
Temas transversales,05-Jul
Personajes y experiencias destacadas,06-Jul
Webinar ,07-Jul
Función micro:bit,07-Jul
Mini clase,08-Jul
Invitación evento,08-Jul
Minichallenge,09-Jul
