Linea,Tipo,Valor
Encuentros educativos,Ejecutado,4
Encuentros educativos,Programado,4
Fichas didácticas,Ejecutado,10
Fichas didácticas,Programado,10
Divulgacioń y comunicaciones,Ejecutado,14
Divulgacioń y comunicaciones,Programado,14
Mini challenges,Ejecutado,6
Mini challenges,Programado,6
Recursos alternativos,Ejecutado,6
Recursos alternativos,Programado,6
Temas transversales de formación,Ejecutado,3
Temas transversales de formación,Programado,3
Personajes y experiencias destacadas e inspiradoras,Ejecutado,10
Personajes y experiencias destacadas e inspiradoras,Programado,10
